product_id,code,description,category,brand,manufacturer,status
26513332,8801038116044,DORCO PACE 4(RAZ+BLD) ,BPZ - BANDED PACKS,DORCO,DORCO LTD,Active
75891568,4005800301995,NIVEA MEN ODNIM DVIZHENIEM(SHP FO200+MFR C&B75) ,BPZ - BANDED PACKS,NIVEA MEN (BEIERSDORF),BEIERSDORF,Active
20149688,4015400159643,NATURELLA CAMOMILE NORMAL WO 10+20P(50%F ,BPZ - BANDED PACKS,NA,NA,Active
66661175,4015100436105,GLISS KUR OB`YOM I VOSSTANOVLENIE(SHM250+HCR200) ,BPZ - BANDED PACKS,GLISS KUR (LAB INDUSTRIES/MOSKVA),LAB INDUSTRIES/MOSKVA,Active
45480879,3574661468297,LE PET.MAR(250XSRG APEL&GREYPFR+SHM 3TSV&GREYPFR) ,BPZ - BANDED PACKS,LE PETIT MARSEILLAIS (KENVUE),KENVUE,Active
75180201,4005800301476,NIVEA (SRG UVL. I ZABOTA 250+DEO EFEKT PUDRY 50) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
64794889,4005800282669,NIVEA PITANIE I KRASOTA(HAC 75+SRG 250) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
20836179,3086123273504,BIC FLEX 3 HYBRID(RAZ+BLD 3CO) ,BPZ - BANDED PACKS,BIC (VIOLEX BIC),VIOLEX BIC,Active
71940572,4005800297205,NIVEA MEN (SRG BOOST 3IN1 500+SHM ZARYAD CHISTOTY 250 FR) ,BPZ - BANDED PACKS,NIVEA MEN (BEIERSDORF),BEIERSDORF,Active
75179237,4005800301155,NIVEA GLADKIY SHYOLK(SRG KR.I KOK.250+DEO CH.I BEL.NEV.50) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
75179762,4005800301315,NIVEA LOVE (SRG LOVE TO DR.250+DEO LOVE BE TR.50) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
20833009,3014260262693,VENUS FOR WOMEN(RAZ+BLD) ,BPZ - BANDED PACKS,VENUS (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
22221689,4005800111150,NIVEA (SRG MOM.NASL.250+HAC UVL.75 FR) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
57353742,4015100308112,SCHAUMA+FA KIDS D/YUNOGO GEROYA(SHM225+SRG250+CPC FR) ,BPZ - BANDED PACKS,UNABLE TO SEGMENT (HENKEL),HENKEL,Active
146722272,3086123711525,BIC FLEX 5 HYBRID(RAZ+BLD 1CO+CPC) ,BPZ - BANDED PACKS,BIC (VIOLEX BIC),VIOLEX BIC,Active
64812136,4005800282621,NIVEA UNIVERSAL`NIY UKHOD(BCR75+SOA UVL.I ZAB.100 20%) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
20836491,3014260243555,GILLET.MACH 3(RAZ+BLD) ,BPZ - BANDED PACKS,GILLETTE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
54300213,4015100311488,GLISS KUR EKSTR.VOSST.(SHM250+HCR200 FR) ,BPZ - BANDED PACKS,GLISS KUR (LAB INDUSTRIES/MOSKVA),LAB INDUSTRIES/MOSKVA,Active
67898600,3574661596563,LE PET.MARS.MEN(2XSRGX250 KEDR&MIN+SAND&VAN) ,BPZ - BANDED PACKS,LE PETIT MARSEILLAIS (KENVUE),KENVUE,Active
23394210,4015400683094,ALWAYS ULT.NOR.PL.20+DISCR.W.L ILY20P(FR) ,BPZ - BANDED PACKS,NA,NA,Active
67911838,3574661595764,JOHNSON`S(300XSHM 2IN1 HB+SRG KIDS+CPC FR) ,BPZ - BANDED PACKS,JOHNSON`S (KENVUE),KENVUE,Active
55247892,4005800263125,NIVEA KRAS.KOZH(FCR KR.KOZH.D50 35% + FW MAKE UP Y125) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
32343450,4005800172557,NIVEA (FW DVOYN.EFF.125+LPS BAZ.UKH.FR) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
64793113,4005800282560,NIVEA SVEZHEST` LEMONGRASSA(BCR SOFT 100+SRG  250 50%) ,BPZ - BANDED PACKS,NIVEA (BEIERSDORF),BEIERSDORF,Active
49915282,4015600818432,OLD SPICE WOLFTHORN(DEO STO50+SRG250) ,BPZ - BANDED PACKS,OLD SPICE (PROCTER & GAMBLE),PROCTER & GAMBLE,Active
83422993,3086123680227,BIC SOLEIL CLIC 5(RAZ+BLD) ,BPZ - BANDED PACKS,BIC (VIOLEX BIC),VIOLEX BIC,Active
